CodeSection,count,coverage_pct,norm_section,category_auto
A.46.2-853,958,90.87686868210093,46.2-853,traffic
63.2-502,934,90.97939304261347,63.2-502,
18.2-146,929,91.08136855751299,18.2-146,property
G.46.2-878,918,91.18213661206384,46.2-878,traffic
18.2-415,918,91.28290466661471,18.2-415,
18.2-48,912,91.38301410642994,18.2-48,violent
46.2-894,911,91.48301377712258,46.2-894,traffic
18.2-164,834,91.57456122537467,18.2-164,
18.2-193,824,91.66501098240072,18.2-193,fraud_financial
19.2-305.2,800,91.75282628048426,19.2-305.2,procedural_other
18.2-286.1,754,91.835592198928,18.2-286.1,weapons
18.2-121,752,91.91813857912652,18.2-121,property
18.2-181,751,92.00057519020245,18.2-181,fraud_financial
46.2-817(A),740,92.08180434092972,46.2-817,traffic
18.2-53,709,92.15963064885626,18.2-53,violent
18.2-255.2,707,92.23723741853759,18.2-255.2,drug
18.2-102,689,92.31286834401205,18.2-102,property
18.2-23,684,92.38795042387346,18.2-23,
J.18.2-266,665,92.46094689040541,18.2-266,dui_traffic_criminal
18.2-90,664,92.53383358781475,18.2-90,property
A.18.2-268.3,647,92.60485421013982,18.2-268.3,dui_traffic_criminal
18.2-51.4,633,92.67433806474841,18.2-51.4,violent
F.46.2-870,628,92.74327307374399,46.2-870,traffic
3.2-6503,622,92.81154946800395,3.2-6503,animal_cruelty
18.2-256,620,92.8796063240187,18.2-256,drug
46.2-830,610,92.9465654888074,46.2-830,traffic
18.2-89,610,93.0135246535961,18.2-89,property
18.2-427,607,93.08015451101697,18.2-427,
18.2-308.1:4,606,93.14667459931526,18.2-308.1:4,weapons
46.2-833,605,93.21308491849094,46.2-833,traffic
18.2-248.01,598,93.27872685380838,18.2-248.01,drug
46.2-852,591,93.3436004052676,46.2-852,traffic
46.2-391D2,590,93.4083641876042,46.2-391D2,traffic
18.2-422,589,93.47301820081822,18.2-422,
18.2-108.1,582,93.536903830174,18.2-108.1,property
18.2-22,562,93.59859407707768,18.2-22,
18.2-31,551,93.65907686363272,18.2-31,violent
18.2-41,549,93.71934011194256,18.2-41,violent
18.2-271.1,544,93.77905451463936,18.2-271.1,dui_traffic_criminal
46.2-804,541,93.83843960996835,46.2-804,traffic
C.46.2-896,520,93.89551955372265,46.2-896,traffic
18.2-67.4,513,93.95183111361872,18.2-67.4,sexual_offense
18.2-434,512,94.0080329043922,18.2-434,
18.2-60.3,506,94.06357608043002,18.2-60.3,
18.2-77,485,94.11681410489318,18.2-77,
18.2-361.01,478,94.16928374549809,18.2-361.01,juvenile_family
46.2-816,474,94.2213143096126,46.2-816,traffic
46.2-821,473,94.27323510460448,46.2-821,traffic
18.2-58.1,463,94.32405820837033,18.2-58.1,
18.2-178.1,457,94.37422269740055,18.2-178.1,fraud_financial
19.2-298.02,456,94.42427741730818,19.2-298.02,procedural_other
18.2-46.2,456,94.4743321372158,18.2-46.2,violent
C.46.2-870,442,94.52285008940694,46.2-870,traffic
18.2-386.1,441,94.5712582724755,18.2-386.1,public_order
B.46.2-894,437,94.61922737905364,46.2-894,traffic
18.2-323.1,423,94.6656597179153,18.2-323.1,
18.2-387,417,94.71143344204135,18.2-387,public_order
B.46.2-357,415,94.75698762792219,46.2-357,traffic
46.2-1158,407,94.80166366082219,46.2-1158,traffic
C.46.2-878,392,94.84469315688312,46.2-878,traffic
18.2-248.03,383,94.88673473084063,18.2-248.03,drug
46.2-613(1),364,94.92669069146864,46.2-613,traffic
18.2-98,363,94.96653688297404,18.2-98,property
18.2-33,355,95.00550492149861,18.2-33,violent
18.2-461,353,95.04425342177798,18.2-461,obstruction_justice
18.2-308.1:3,352,95.08289215293473,18.2-308.1:3,weapons
46.2-722,350,95.12131134584628,46.2-722,traffic
18.2-357.1,350,95.15973053875783,18.2-357.1,juvenile_family
18.2-250(A)(A),349,95.19803996254677,18.2-250,drug
